indonesian_original,indonesian,papua_kokas,is_augmented
apa yang bisa kita lakukan untuk mendukung pengembangan pariwisata budaya,Apa upaya yang dapat dilakukan untuk mendukung kemajuan pariwisata budaya?,kwai kusafa yang bisa tana buat ta dukung pengembangan pariwisata budaya,True
apa yang bisa kita lakukan untuk mendukung pengembangan pariwisata budaya,apa yang bisa kita lakukan untuk mendukung pengembangan pariwisata budaya,kwai kusafa yang bisa tana buat ta dukung pengembangan pariwisata budaya,False
sangat kreatif dan membutuhkan keahlian tinggi.,Hal tersebut sangat inovatif dan memerlukan keterampilan yang mumpuni.,kreatif paskali adi membutuhkan keahlian magen.,True
sangat kreatif dan membutuhkan keahlian tinggi.,sangat kreatif dan membutuhkan keahlian tinggi.,kreatif paskali adi membutuhkan keahlian magen.,False
apa pendapatmu tentang agama saat ini,Apa pandanganmu mengenai agama pada masa kini?,o pendapat akape adi agama saat ige,True
apa pendapatmu tentang agama saat ini,apa pendapatmu tentang agama saat ini,o pendapat akape adi agama saat ige,False
bagaimana cara mengatur jadwal di kalender ini,Bagaimana cara mengelola jadwal dalam kalender ini?,akape ta atur jadwal ami kalender ige,True
bagaimana cara mengatur jadwal di kalender ini,bagaimana cara mengatur jadwal di kalender ini,akape ta atur jadwal ami kalender ige,False
tolong beri tahu saya cara mencapai stasiun bus terdekat,Mohon beritahu saya cara menuju stasiun bus yang terdekat.,tolok farok ati yai cara tasinaga tompat bus karagragar,True
tolong beri tahu saya cara mencapai stasiun bus terdekat,tolong beri tahu saya cara mencapai stasiun bus terdekat,tolok farok ati yai cara tasinaga tompat bus karagragar,False
bagaimana perasaanmu setelah menghadiri acara itu,Bagaimana perasaanmu usai menghadiri acara tersebut?,operasaan akape setelah omosir acara nukwa,True
bagaimana perasaanmu setelah menghadiri acara itu,bagaimana perasaanmu setelah menghadiri acara itu,operasaan akape setelah omosir acara nukwa,False
bagaimana pandanganmu tentang perkembangan industri kreatif digital di indonesia?,Bagaimana pandanganmu mengenai perkembangan industri kreatif digital di Indonesia?,o pandangan akape adi perkembangan industri kreatif digital ami indonesia,True
bagaimana pandanganmu tentang perkembangan industri kreatif digital di indonesia?,bagaimana pandanganmu tentang perkembangan industri kreatif digital di indonesia?,o pandangan akape adi perkembangan industri kreatif digital ami indonesia,False
aku suka berlari dan yoga.,Aku gemar berlari dan melakukan yoga.,yai suka efna adi yoga.,True
aku suka berlari dan yoga.,aku suka berlari dan yoga.,yai suka efna adi yoga.,False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi angka kemiskinan?","Menurutmu, langkah apa saja yang dapat dilakukan untuk menurunkan angka kemiskinan?",menurut o kusafas watan yang bisa tagwain buat mengurangi angka mincia miskin,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi angka kemiskinan?","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi angka kemiskinan?",menurut o kusafas watan yang bisa tagwain buat mengurangi angka mincia miskin,False
apa tantangan terbesar dalam buku,Apa tantangan terbesar yang ada dalam buku?,kusafa paling magen ami nanam buku,True
apa tantangan terbesar dalam buku,apa tantangan terbesar dalam buku,kusafa paling magen ami nanam buku,False
bagaimana cara kamu menghabiskan waktu bersama keluarga?,Bagaimana cara kamu mengisi waktu bersama keluarga?,akape o cara ana buakaf waktu adi keluarga sina?,True
bagaimana cara kamu menghabiskan waktu bersama keluarga?,bagaimana cara kamu menghabiskan waktu bersama keluarga?,akape o cara ana buakaf waktu adi keluarga sina?,False
saya ingin memperbaiki kursi yang rusak.,Saya ingin memperbaiki kursi yang mengalami kerusakan.,yai emau efnona kaderak rusak,True
saya ingin memperbaiki kursi yang rusak.,saya ingin memperbaiki kursi yang rusak.,yai emau efnona kaderak rusak,False
"keterampilan komunikasi, baik lisan maupun tertulis, ditekankan di sekolah","Keterampilan berkomunikasi, baik secara lisan maupun tulisan, mendapat penekanan di lingkungan sekolah.",kemampuan tafarokwai baik lisan maupun tulisan sina atekan ami sakolah,True
"keterampilan komunikasi, baik lisan maupun tertulis, ditekankan di sekolah","keterampilan komunikasi, baik lisan maupun tertulis, ditekankan di sekolah",kemampuan tafarokwai baik lisan maupun tulisan sina atekan ami sakolah,False
konsumsi air yang cukup sebagai kunci hidrasi dan kesehatan ginjal,Konsumsi air dalam jumlah yang memadai menjadi kunci untuk menjaga hidrasi dan kesehatan ginjal.,taparlu wer yang cukup sebagai kunci hidrasi adi kesehatan ginjal,True
konsumsi air yang cukup sebagai kunci hidrasi dan kesehatan ginjal,konsumsi air yang cukup sebagai kunci hidrasi dan kesehatan ginjal,taparlu wer yang cukup sebagai kunci hidrasi adi kesehatan ginjal,False
tolong sampaikan salam saya kepada keluargamu,Sampaikanlah salam saya kepada keluarga Anda.,tolong esalam yai ati o keluarga,True
tolong sampaikan salam saya kepada keluargamu,tolong sampaikan salam saya kepada keluargamu,tolong esalam yai ati o keluarga,False
bagaimana perasaanmu setelah menghadiri acara tersebut,Bagaimana perasaan Anda usai menghadiri acara tersebut?,operasaan akape setelah mosir acara nukwa,True
bagaimana perasaanmu setelah menghadiri acara tersebut,bagaimana perasaanmu setelah menghadiri acara tersebut,operasaan akape setelah mosir acara nukwa,False
tolong beri tahu saya jika kamu ingin berbicara tentang rencana pernikahanmu.,Mohon beri tahu saya apabila Anda ingin membicarakan rencana pernikahan Anda.,tolong farokwai adi yai kalo omau farokwai tentang opernikahan,True
tolong beri tahu saya jika kamu ingin berbicara tentang rencana pernikahanmu.,tolong beri tahu saya jika kamu ingin berbicara tentang rencana pernikahanmu.,tolong farokwai adi yai kalo omau farokwai tentang opernikahan,False
pemanasan global merupakan isu yang perlu segera ditangani,Isu pemanasan global perlu segera diatasi.,rera bayar magen nukwa isu yang segera di tangani,True
pemanasan global merupakan isu yang perlu segera ditangani,pemanasan global merupakan isu yang perlu segera ditangani,rera bayar magen nukwa isu yang segera di tangani,False
apa pendapatmu tentang seni saat ini,Bagaimana pendapat Anda mengenai seni masa kini?,o pendapat akape adi seni saat ige,True
apa pendapatmu tentang seni saat ini,apa pendapatmu tentang seni saat ini,o pendapat akape adi seni saat ige,False
apa tantangan terbesar dalam olahraga,Apa tantangan terbesar yang dihadapi dalam dunia olahraga?,kusafa tantangan paling magen ami olahraga nanam,True
apa tantangan terbesar dalam olahraga,apa tantangan terbesar dalam olahraga,kusafa tantangan paling magen ami olahraga nanam,False
film apa yang terakhir kali kamu tonton di bioskop,Film apa yang terakhir Anda tonton di bioskop?,film kusafa yang ati tabin ige omiti fogim ami bioskop,True
film apa yang terakhir kali kamu tonton di bioskop,film apa yang terakhir kali kamu tonton di bioskop,film kusafa yang ati tabin ige omiti fogim ami bioskop,False
bagaimana pandanganmu tentang pentingnya literasi gender?,Bagaimana pandangan Anda mengenai pentingnya literasi gender?,o pandangan akape tentang pentingnya literasi batbata sina?,True
bagaimana pandanganmu tentang pentingnya literasi gender?,bagaimana pandanganmu tentang pentingnya literasi gender?,o pandangan akape tentang pentingnya literasi batbata sina?,False
"maaf, saya tidak bisa datang ke pesta itu","Saya minta maaf, tidak dapat hadir di pesta tersebut.","maaf, yai aerata ema ami pesta nukwa",True
"maaf, saya tidak bisa datang ke pesta itu","maaf, saya tidak bisa datang ke pesta itu","maaf, yai aerata ema ami pesta nukwa",False
bagaimana cara membuat salad yang sehat,Bagaimana cara menyiapkan salad yang sehat?,akape tana salad yang kues,True
bagaimana cara membuat salad yang sehat,bagaimana cara membuat salad yang sehat,akape tana salad yang kues,False
tolong antarkan saya ke stasiun kereta api,Tolong antar saya ke stasiun kereta api.,tolong ma antar yai ati stasiun kereta api,True
tolong antarkan saya ke stasiun kereta api,tolong antarkan saya ke stasiun kereta api,tolong ma antar yai ati stasiun kereta api,False
pentingnya pengelolaan waktu untuk mengurangi tekanan dan meningkatkan kesehatan mental,Pengelolaan waktu yang baik penting untuk mengurangi tekanan dan meningkatkan kesehatan mental.,parlu takelola waktu buat takurangi tekanan adi meningkatkan kosehatan mental,True
pentingnya pengelolaan waktu untuk mengurangi tekanan dan meningkatkan kesehatan mental,pentingnya pengelolaan waktu untuk mengurangi tekanan dan meningkatkan kesehatan mental,parlu takelola waktu buat takurangi tekanan adi meningkatkan kosehatan mental,False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi angka putus sekolah?","Menurut Anda, langkah apa saja yang dapat dilakukan untuk menekan angka putus sekolah?",menurut o kusafa watan langkah yang bisa tana buat takurangi angka putus sakolah?,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi angka putus sekolah?","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi angka putus sekolah?",menurut o kusafa watan langkah yang bisa tana buat takurangi angka putus sakolah?,False
sangat cepat dan bisa mengubah cara kita berkomunikasi.,Sangat cepat dan mampu mengubah cara kita berkomunikasi.,perar paskali adi bisa mengubah cara ita komunikasi.,True
sangat cepat dan bisa mengubah cara kita berkomunikasi.,sangat cepat dan bisa mengubah cara kita berkomunikasi.,perar paskali adi bisa mengubah cara ita komunikasi.,False
apa yang kamu pikirkan tentang pentingnya gizi seimbang bagi kesehatan,Apa pendapat Anda tentang pentingnya gizi seimbang bagi kesehatan?,o fikir kusafa tentang pentingnya gizi seimbang buat kesehatan,True
apa yang kamu pikirkan tentang pentingnya gizi seimbang bagi kesehatan,apa yang kamu pikirkan tentang pentingnya gizi seimbang bagi kesehatan,o fikir kusafa tentang pentingnya gizi seimbang buat kesehatan,False
. bagaimana cara kamu melestarikan lingkungan di sekitar?,Bagaimana cara Anda menjaga kelestarian lingkungan di sekitar?,o cara akape melestarikan lingkungan ami sekitar?,True
. bagaimana cara kamu melestarikan lingkungan di sekitar?,. bagaimana cara kamu melestarikan lingkungan di sekitar?,o cara akape melestarikan lingkungan ami sekitar?,False
bagaimana cuaca hari ini?,Bagaimana kondisi cuaca hari ini?,akape adi cuaca madige,True
bagaimana cuaca hari ini?,bagaimana cuaca hari ini?,akape adi cuaca madige,False
mendukung kepentingan dan bakat masing-masing anggota keluarga,Mendukung minat dan bakat setiap anggota keluarga.,ta dukung sina kepentingan adi bakat masing-masing sina anggota keluarga,True
mendukung kepentingan dan bakat masing-masing anggota keluarga,mendukung kepentingan dan bakat masing-masing anggota keluarga,ta dukung sina kepentingan adi bakat masing-masing sina anggota keluarga,False
tolong berikan nomor telepon kamu,Bolehkah saya mendapatkan nomor telepon Anda?,tolong ofi yai o nomor telepon,True
tolong berikan nomor telepon kamu,tolong berikan nomor telepon kamu,tolong ofi yai o nomor telepon,False
kamu suka membaca majalah apa,Majalah apa yang Anda gemari untuk dibaca?,o suka baca majalah kusafa,True
kamu suka membaca majalah apa,kamu suka membaca majalah apa,o suka baca majalah kusafa,False
bisakah kamu memberi saya informasi tentang universitas ini,Apakah Anda dapat memberikan informasi mengenai universitas tersebut?,obisa fi yai informasi tentang tompat kuliah ige,True
bisakah kamu memberi saya informasi tentang universitas ini,bisakah kamu memberi saya informasi tentang universitas ini,obisa fi yai informasi tentang tompat kuliah ige,False
bagaimana pandanganmu tentang pentingnya literasi media di kalangan pekerja,Bagaimana pendapat Anda mengenai signifikansi literasi media di kalangan pekerja?,o pandangan akape adi pentingnya tana kues media ami kalangan pekerja,True
bagaimana pandanganmu tentang pentingnya literasi media di kalangan pekerja,bagaimana pandanganmu tentang pentingnya literasi media di kalangan pekerja,o pandangan akape adi pentingnya tana kues media ami kalangan pekerja,False
bagaimana cara kamu mendukung petani lokal?,Apa upaya yang Anda lakukan untuk mendukung para petani lokal?,o cara akape mendukung petani urag wanas,True
bagaimana cara kamu mendukung petani lokal?,bagaimana cara kamu mendukung petani lokal?,o cara akape mendukung petani urag wanas,False
pengembangan kurikulum yang responsif terhadap kebutuhan lokal dan global,Kurikulum yang dikembangkan dengan responsif terhadap kebutuhan lokal dan global.,ati barik kurikulum multi bahasa terhadap kebutuhan lokal adi global,True
pengembangan kurikulum yang responsif terhadap kebutuhan lokal dan global,pengembangan kurikulum yang responsif terhadap kebutuhan lokal dan global,ati barik kurikulum multi bahasa terhadap kebutuhan lokal adi global,False
bagaimana pandanganmu tentang perkembangan industri kreatif digital di indonesia,Apa pandangan Anda terkait kemajuan industri kreatif digital di Indonesia?,o pandangan akape adi perkembangan industri kreatif digital ami indonesia,True
bagaimana pandanganmu tentang perkembangan industri kreatif digital di indonesia,bagaimana pandanganmu tentang perkembangan industri kreatif digital di indonesia,o pandangan akape adi perkembangan industri kreatif digital ami indonesia,False
bagaimana cara kamu melestarikan lingkungan di sekitar,Apa langkah-langkah yang Anda ambil untuk menjaga kelestarian lingkungan sekitar?,o cara akape melestarikan lingkungan ami sekitar,True
bagaimana cara kamu melestarikan lingkungan di sekitar,bagaimana cara kamu melestarikan lingkungan di sekitar,o cara akape melestarikan lingkungan ami sekitar,False
bagaimana pandanganmu tentang pentingnya literasi hukum bagi masyarakat?,Bagaimana pandangan Anda tentang pentingnya literasi hukum bagi masyarakat?,o pandangan akape tentang pentingnya literasi hukum buat ita masyarakat?,True
bagaimana pandanganmu tentang pentingnya literasi hukum bagi masyarakat?,bagaimana pandanganmu tentang pentingnya literasi hukum bagi masyarakat?,o pandangan akape tentang pentingnya literasi hukum buat ita masyarakat?,False
tolong beri tahu saya jika ada perubahan rencana,Mohon informasikan kepada saya apabila terdapat perubahan rencana.,tolong farok ati yai kalo rencana perubahan amia,True
tolong beri tahu saya jika ada perubahan rencana,tolong beri tahu saya jika ada perubahan rencana,tolong farok ati yai kalo rencana perubahan amia,False
apa yang bisa kita lakukan untuk mendukung pengembangan pendidikan inklusif?,Apa yang dapat kita lakukan untuk mendukung kemajuan pendidikan inklusif?,kwai kusafa yang bisa tana buat mendukung pengembangan a sekolah inklusif,True
apa yang bisa kita lakukan untuk mendukung pengembangan pendidikan inklusif?,apa yang bisa kita lakukan untuk mendukung pengembangan pendidikan inklusif?,kwai kusafa yang bisa tana buat mendukung pengembangan a sekolah inklusif,False
apa yang biasa kamu lakukan di waktu luangmu,Aktivitas apa yang biasanya Anda lakukan saat waktu senggang?,biasa mua kwai safa ami o rera frei,True
apa yang biasa kamu lakukan di waktu luangmu,apa yang biasa kamu lakukan di waktu luangmu,biasa mua kwai safa ami o rera frei,False
peran komunikasi non-verbal dalam menyampaikan perasaan dalam hubungan,Peran komunikasi non-verbal dalam mengungkapkan perasaan dalam suatu hubungan.,peran komunikasi non verbal buat ami kasi sompai operasaan adi hubungan,True
peran komunikasi non-verbal dalam menyampaikan perasaan dalam hubungan,peran komunikasi non-verbal dalam menyampaikan perasaan dalam hubungan,peran komunikasi non verbal buat ami kasi sompai operasaan adi hubungan,False
apa yang bisa kita lakukan untuk mendukung pengembangan ekonomi kreatif di pedesaan?,Apa yang dapat kita lakukan untuk mendukung pertumbuhan ekonomi kreatif di pedesaan?,kwai kusafa yang bisa tana buat ta dukung pengembangan ekonomi kreatif ami pedesaan,True
apa yang bisa kita lakukan untuk mendukung pengembangan ekonomi kreatif di pedesaan?,apa yang bisa kita lakukan untuk mendukung pengembangan ekonomi kreatif di pedesaan?,kwai kusafa yang bisa tana buat ta dukung pengembangan ekonomi kreatif ami pedesaan,False
apa pendapatmu tentang perubahan iklim,Bagaimana pendapat Anda mengenai perubahan iklim?,o pendapat akape adi perubahan iklim,True
apa pendapatmu tentang perubahan iklim,apa pendapatmu tentang perubahan iklim,o pendapat akape adi perubahan iklim,False
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya air bersih,Bagaimana cara kita dapat meningkatkan kesadaran akan pentingnya air bersih?,akape ita cara bisa ta tingkatkan kesadaran akan pentingnya wer barsih,True
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya air bersih,bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya air bersih,akape ita cara bisa ta tingkatkan kesadaran akan pentingnya wer barsih,False
"sangat mengesankan, aku belajar banyak hal baru.","Sungguh mengesankan, saya memperoleh banyak pengetahuan baru.","mengesankan paskali, yai balajar yani hal beri-beri",True
"sangat mengesankan, aku belajar banyak hal baru.","sangat mengesankan, aku belajar banyak hal baru.","mengesankan paskali, yai balajar yani hal beri-beri",False
aku suka ritme dan improvisasinya.,Saya menyukai ritme dan improvisasinya.,yai suka ritme adi improvisasinya.,True
aku suka ritme dan improvisasinya.,aku suka ritme dan improvisasinya.,yai suka ritme adi improvisasinya.,False
"iya, aku bisa bermain gitar dan piano.","Ya, saya mampu memainkan gitar dan piano.","yo, yai bisa amnagin gitar adi piano.",True
"iya, aku bisa bermain gitar dan piano.","iya, aku bisa bermain gitar dan piano.","yo, yai bisa amnagin gitar adi piano.",False
apa yang bisa kita lakukan untuk mendukung pengembangan teknologi di daerah pedesaan?,Apa yang dapat kita lakukan untuk mendukung pengembangan teknologi di wilayah pedesaan?,kwai kusafa yang bisa tana buat ta dukung pengembangan teknologi ami urag pedesaan,True
apa yang bisa kita lakukan untuk mendukung pengembangan teknologi di daerah pedesaan?,apa yang bisa kita lakukan untuk mendukung pengembangan teknologi di daerah pedesaan?,kwai kusafa yang bisa tana buat ta dukung pengembangan teknologi ami urag pedesaan,False
bagaimana cara membuat adonan pizza yang enak,Bagaimana cara menyiapkan adonan pizza yang lezat,akape tana adonan pizza min minah,True
bagaimana cara membuat adonan pizza yang enak,bagaimana cara membuat adonan pizza yang enak,akape tana adonan pizza min minah,False
kesehatan anak-anak melibatkan pemantauan pertumbuhan dan perkembangan secara berkala,Kesehatan anak mencakup pemantauan berkala terhadap pertumbuhan dan perkembangannya,kapiropir sina kesehatan melibatkan tanita sina perobahan adi perkembangan secara berkala,True
kesehatan anak-anak melibatkan pemantauan pertumbuhan dan perkembangan secara berkala,kesehatan anak-anak melibatkan pemantauan pertumbuhan dan perkembangan secara berkala,kapiropir sina kesehatan melibatkan tanita sina perobahan adi perkembangan secara berkala,False
bagaimana cara kita bisa meningkatkan pariwisata di daerah terpencil,Bagaimana upaya yang dapat dilakukan untuk meningkatkan pariwisata di wilayah terpencil,akape adi ita cara bisa meningkatkan pariwisata ami urag terpencil,True
bagaimana cara kita bisa meningkatkan pariwisata di daerah terpencil,bagaimana cara kita bisa meningkatkan pariwisata di daerah terpencil,akape adi ita cara bisa meningkatkan pariwisata ami urag terpencil,False
saya ingin memperbaiki lampu yang mati di ruang tamu.,Saya perlu memperbaiki lampu yang tidak menyala di ruang tamu,emau efnona lampu awarag ami poris matan,True
saya ingin memperbaiki lampu yang mati di ruang tamu.,saya ingin memperbaiki lampu yang mati di ruang tamu.,emau efnona lampu awarag ami poris matan,False
"iya, aku suka cokelat dan kue","Ya, saya menyukai cokelat dan kue","yo, yai suka coklat adi kukis",True
"iya, aku suka cokelat dan kue","iya, aku suka cokelat dan kue","yo, yai suka coklat adi kukis",False
"iya, aku suka membantu di acara amal.","Ya, saya senang membantu dalam kegiatan amal","yo, yai suka bantu ami acara amal",True
"iya, aku suka membantu di acara amal.","iya, aku suka membantu di acara amal.","yo, yai suka bantu ami acara amal",False
"maaf, bisakah kamu mengulang pertanyaanmu","Maaf, dapatkah Anda mengulangi pertanyaan Anda","maaf, obisa mi ulang o pertanyaan",True
"maaf, bisakah kamu mengulang pertanyaanmu","maaf, bisakah kamu mengulang pertanyaanmu","maaf, obisa mi ulang o pertanyaan",False
apakah kamu punya rencana untuk liburan musim panas ini,Apakah Anda memiliki rencana untuk liburan musim panas ini,amia o rencana liburan musim rera bayar ige,True
apakah kamu punya rencana untuk liburan musim panas ini,apakah kamu punya rencana untuk liburan musim panas ini,amia o rencana liburan musim rera bayar ige,False
bagaimana cara menghemat listrik di rumah,Bagaimana cara menghemat penggunaan listrik di rumah,akape ta hemat listrik ami rumah,True
bagaimana cara menghemat listrik di rumah,bagaimana cara menghemat listrik di rumah,akape ta hemat listrik ami rumah,False
bagaimana cara kamu mendukung produk lokal indonesia,Bagaimana Anda mendukung produk-produk lokal Indonesia,o cara akape mendukung produk lokal indonesia,True
bagaimana cara kamu mendukung produk lokal indonesia,bagaimana cara kamu mendukung produk lokal indonesia,o cara akape mendukung produk lokal indonesia,False
peran anggota keluarga dalam membantu satu sama lain dalam situasi sulit,Peran anggota keluarga dalam saling membantu di saat-saat sulit,peran ita keluarga saling baku tolong isa adi sina faterir buat ita susah,True
peran anggota keluarga dalam membantu satu sama lain dalam situasi sulit,peran anggota keluarga dalam membantu satu sama lain dalam situasi sulit,peran ita keluarga saling baku tolong isa adi sina faterir buat ita susah,False
tolong ingatkan saya untuk membayar tagihan listrik.,Tolong ingatkan saya untuk membayar tagihan listrik,omikasi ingat yai untuk ebayara tagihan listrik,True
tolong ingatkan saya untuk membayar tagihan listrik.,tolong ingatkan saya untuk membayar tagihan listrik.,omikasi ingat yai untuk ebayara tagihan listrik,False
saya akan membayar makan malam ini,Saya yang akan membayar untuk makan malam kali ini,yai ebayar kumnamin misyag ige,True
saya akan membayar makan malam ini,saya akan membayar makan malam ini,yai ebayar kumnamin misyag ige,False
saya sedang terburu-buru dan lapar,Saya sedang dalam keadaan buru-buru dan merasa lapar,yai sedang terburu-buru adi pepar,True
saya sedang terburu-buru dan lapar,saya sedang terburu-buru dan lapar,yai sedang terburu-buru adi pepar,False
apa yang kamu pikirkan tentang pentingnya gizi seimbang bagi kesehatan?,Apa pendapat Anda mengenai pentingnya gizi seimbang bagi kesehatan,o fikir kusafa tentang pentingnya gizi seimbang buat kesehatan,True
apa yang kamu pikirkan tentang pentingnya gizi seimbang bagi kesehatan?,apa yang kamu pikirkan tentang pentingnya gizi seimbang bagi kesehatan?,o fikir kusafa tentang pentingnya gizi seimbang buat kesehatan,False
apakah kamu sudah mencoba olahraga baru,Apakah Anda sudah mencoba olahraga baru,omi coba kaf olahraga beriberi,True
apakah kamu sudah mencoba olahraga baru,apakah kamu sudah mencoba olahraga baru,omi coba kaf olahraga beriberi,False
bagaimana caramu menjaga keseimbangan antara kerja dan hidup,Bagaimana cara Anda menjaga keseimbangan antara pekerjaan dan kehidupan pribadi,o cara akape mijaga keseimbangan antara o karja adi o hidup,True
bagaimana caramu menjaga keseimbangan antara kerja dan hidup,bagaimana caramu menjaga keseimbangan antara kerja dan hidup,o cara akape mijaga keseimbangan antara o karja adi o hidup,False
"sangat kreatif, banyak desain yang inovatif dan menarik","Sangat kreatif, dengan banyak desain yang inovatif dan menarik","kreatif paskali, idesain yani yang inovatif adi menarik",True
"sangat kreatif, banyak desain yang inovatif dan menarik","sangat kreatif, banyak desain yang inovatif dan menarik","kreatif paskali, idesain yani yang inovatif adi menarik",False
"iya, aku ingin pergi ke sana tahun ini","Ya, saya ingin mengunjungi tempat itu tahun ini","yo, yai emau etine garak ige",True
"iya, aku ingin pergi ke sana tahun ini","iya, aku ingin pergi ke sana tahun ini","yo, yai emau etine garak ige",False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi penggunaan plastik sekali pakai","Menurut Anda, langkah apa saja yang dapat diambil untuk mengurangi pemakaian plastik sekali pakai",menurut o kusafa watan langkah yang bisa tana buat ta kurangi ita paki zawatan plastik,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi penggunaan plastik sekali pakai","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi penggunaan plastik sekali pakai",menurut o kusafa watan langkah yang bisa tana buat ta kurangi ita paki zawatan plastik,False
kamu suka memasak,Kamu gemar memasak.,o suka afrubir kwai,True
kamu suka memasak,kamu suka memasak,o suka afrubir kwai,False
pengenalan kurikulum multibahasa untuk mendukung siswa dengan latar belakang linguistik yang beragam,Pengimplementasian kurikulum multibahasa guna mendukung peserta didik yang memiliki latar belakang bahasa beragam.,ati barik kurikulum multi bahasa multi bahasa bo abantu kapiropir adi latar belakang linguistik yani,True
pengenalan kurikulum multibahasa untuk mendukung siswa dengan latar belakang linguistik yang beragam,pengenalan kurikulum multibahasa untuk mendukung siswa dengan latar belakang linguistik yang beragam,ati barik kurikulum multi bahasa multi bahasa bo abantu kapiropir adi latar belakang linguistik yani,False
apa yang kamu sukai dari seni lukis di indonesia,Apa yang paling kamu sukai dari seni lukis di Indonesia?,o mi suka kusafa afi seni lukis ami indonesia,True
apa yang kamu sukai dari seni lukis di indonesia,apa yang kamu sukai dari seni lukis di indonesia,o mi suka kusafa afi seni lukis ami indonesia,False
bagaimana pendapatmu tentang perkembangan ekonomi di indonesia,Bagaimana pandanganmu mengenai perkembangan ekonomi di Indonesia?,o pendapat akape adi perkembangan ekonomi ami indonesia,True
bagaimana pendapatmu tentang perkembangan ekonomi di indonesia,bagaimana pendapatmu tentang perkembangan ekonomi di indonesia,o pendapat akape adi perkembangan ekonomi ami indonesia,False
apakah kamu ingin minum kopi bersama saya,Apakah kamu berminat untuk minum kopi bersama saya?,omau menim kofi adi yai,True
apakah kamu ingin minum kopi bersama saya,apakah kamu ingin minum kopi bersama saya,omau menim kofi adi yai,False
apa pendapatmu tentang pentingnya menjaga kesehatan mental selama pandemi?,Bagaimana pandanganmu mengenai pentingnya menjaga kesehatan mental di masa pandemi?,o pendapat akape adi pentingnya ta jaga kesehatan mental ami musim pandemi?,True
apa pendapatmu tentang pentingnya menjaga kesehatan mental selama pandemi?,apa pendapatmu tentang pentingnya menjaga kesehatan mental selama pandemi?,o pendapat akape adi pentingnya ta jaga kesehatan mental ami musim pandemi?,False
bagaimana dengan kesehatanmu akhir-akhir ini,Bagaimana kabar kesehatanmu belakangan ini?,akape adi o kesehatan akhir-akhir ige,True
